c_resid,unit,nace_r2,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
TOTAL,NR,I553,LV	245816 	101049 	122889 	142067 	158699 b	203662 	242240 	126570 	139198 	139628 	158891 	166923 
TOTAL,NR,I553,ME	: 	: 	: 	: 	25935 b	: 	: 	20965 	30327 	24642 	: 	: 
TOTAL,NR,I553,MK	145418 	127524 	110340 	99306 	94833 b	73646 	58267 	41962 	39845 	56417 	58370 	55606 
TOTAL,NR,I553,MT	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
TOTAL,NR,I553,NL	18810900 	20084600 	19297400 	18817000 	17413782 b	21059483 b	21487386 	20992627 	20911424 	19797837 	20747568 	21874729 
TOTAL,NR,I553,NO	8627098 	8535761 	8267999 	8079857 	8238854 b	6766832 	7190227 	7174718 	7490969 	: 	: 	: 
TOTAL,NR,I553,PL	694912 	642343 	585221 	546685 	870821 b	854959 	850298 	990050 	1065421 	1140798 	1257909 	1280596 
TOTAL,NR,I553,PT	6746876 	6749904 	6512198 	6434399 	6225033 b	5611886 	5637081 	5782307 	6612252 	6576219 	6840808 	6941638 
TOTAL,NR,I553,RO	282862 	200742 	200921 	188110 	260394 b	222870 	157139 	257735 	234712 	272556 	242566 	330640 
TOTAL,NR,I553,RS	: 	: 	: 	: 	34277 b	35428 	37861 	41455 	42156 	: 	: 	: 
TOTAL,NR,I553,SE	14338214 	15225370 	14324646 	14448640 	14035208 b	14496850 	15046968 	15560268 	15637587 	15767279 	16062028 	16747364 
TOTAL,NR,I553,SI	1287583 	1268620 	1170610 	1273658 	1297196 b	1303825 	1218949 	1344658 	1396801 	1689050 	: 	2037068 
TOTAL,NR,I553,SK	347554 	328835 	222394 	196445 	217095 b	223400 	183859 	215243 	293632 	310838 	342304 	323426 
TOTAL,NR,I553,TR	: 	: 	: 	: 	: 	56865 	317613 	92125 	355240 	: 	: 	: 
TOTAL,NR,I553,UK	52623014 	63231642 	51355072 	49110847 	54528265 b	54135045 	: 	51035923 	51435060 	: 	: 	: 
