c_resid,unit,nace_r2,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
FOR,NR,I551,LT	1571667 	1424968 	1321235 	1274222 	1182212 	1166466 	1098496 	1008138 	909274 	760882 	684471 	824860 	767252 	692335 	622700 	530456 	385201 	342868 	306374 	258700 	250599 	271562 	246074 	212155 	175497 	197231 	: 	: 	: 	: 
FOR,NR,I551,LU	812475 	816342 	824517 	849005 	870390 	834129 	762760 	770277 	682331 	651532 	651414 	674604 	706362 	673366 	666862 	613244 	581450 	598683 	576785 	588591 	579573 	524663 	508396 	461217 	495624 	491625 	506967 	491501 	520179 	529759 
FOR,NR,I551,LV	1776622 	1774227 	1635945 	1451664 	1372532 	1305554 	1131839 	992090 	985497 	815028 	697320 	846166 	764534 	745799 	680311 	519575 	402335 	351726 	319378 	265894 	239323 	236440 	217248 	186998 	182253 	192147 	: 	: 	: 	: 
FOR,NR,I551,ME	: 	: 	794770 	669492 	594756 	: 	: 	537282 	523631 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,MK	725103 	673830 	600901 	488629 	455644 	391649 	372732 	324372 	301304 	231485 	219803 	213829 	: 	: 	: 	: 	: 	115391 	92491 	202933 	168686 	138799 	109160 	113360 	125703 	: 	164634 	168033 	225161 	367362 
FOR,NR,I551,MT	1780600 	1762459 	1629991 	1437995 	1407062 	1369656 	1292763 	1185679 	1188221 	1109831 	946756 	1068326 	1038653 	1004389 	1022777 	1038378 	961560 	948625 	984758 	849737 	900251 	890212 	818047 	752670 	808138 	848057 	: 	: 	: 	645529 
FOR,NR,I551,NL	15510774 	14671581 	14152433 	12408740 	11765596 	10978473 	10017355 	9294796 	9026700 	8726600 	7754200 	8034700 	8713200 	8567100 	8080700 	7601900 	6930600 	7432800 	7445000 	7738000 	7550000 	7432000 	6163000 	4999000 	4797000 	4456000 	3778100 	3899700 	3686600 	3902700 
FOR,NR,I551,NO	: 	: 	: 	4046267 	3613120 	3251761 	3172833 	2927652 	2973276 	2722551 	2503219 	2724583 	2899017 	2841082 	2655577 	2556431 	2438667 	2560627 	2685519 	2787173 	2856730 	2829197 	2702343 	2746215 	2879751 	2746215 	2556000 	2375000 	2114000 	1954821 
FOR,NR,I551,PL	6582492 	6251196 	6033121 	5680011 	5073855 	4886042 	4686963 	4369548 	3907422 	3667358 	3394043 	3565828 	3833228 	3737865 	3723176 	3385121 	2700717 	2535642 	2488198 	2504510 	1981871 	2695242 	2918855 	3020345 	2791899 	2540465 	2314706 	2210301 	1939499 	: 
FOR,NR,I551,PT	12733011 	12124590 	12279151 	10914283 	9808271 	8963700 	7783145 	7043478 	6792220 	6256808 	5911079 	6421762 	6290607 	5883004 	5354611 	5200608 	4905740 	5060400 	4933855 	5118550 	4910562 	4973695 	4313575 	4069355 	4000043 	3808925 	3371909 	3671539 	3913066 	3632242 
FOR,NR,I551,RO	2439298 	2562986 	2525226 	2287269 	2077353 	1792483 	1594591 	1542663 	1495892 	1326770 	1255703 	1439231 	1531019 	1363012 	1406514 	1332132 	1089169 	981797 	894386 	852282 	783766 	791289 	811125 	756133 	747437 	2700476 	757569 	1153955 	27706579 	1364375 
FOR,NR,I551,RS	: 	: 	: 	1146685 	1012967 	879901 	767058 	707173 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,SE	4965633 	5055749 	4754444 	4489283 	4240483 	3767943 	3469061 	3360128 	3370310 	3284613 	3044348 	2944161 	2993161 	2867451 	2736469 	2610042 	2551711 	2577110 	2586274 	2465002 	2319851 	2304100 	2142647 	2091256 	1994980 	1829826 	1629239 	1571624 	1580203 	1696806 
FOR,NR,I551,SI	2758198 	: 	2425553 	2132262 	1930683 	1761729 	1639871 	1592858 	1528057 	1422382 	1411352 	1532418 	1353649 	1246581 	1192460 	1125120 	1052847 	1005567 	933275 	884362 	739756 	798861 	803392 	713719 	640940 	647659 	546298 	551760 	: 	: 
FOR,NR,I551,SK	1973257 	1858940 	1813857 	1703750 	1469042 	1251559 	1422658 	1293025 	1234580 	1108714 	1047055 	1411493 	1350183 	1291716 	1202685 	1094351 	1043246 	1040980 	926871 	836349 	767432 	701290 	659988 	757887 	734994 	679875 	535788 	370748 	506671 	673755 
FOR,NR,I551,TR	38840436 	31124593 	: 	14214542 	23119995 	23537043 	21155448 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,UK	: 	: 	: 	21303907 	23140553 	: 	21255703 	18788435 	19092585 	18509689 	17321289 	17533108 	18694338 	18710884 	17008893 	15819948 	14397000 	14176000 	17019000 	17019000 	17019000 	16304000 	17109573 	16890329 	17118105 	14927318 	14258984 	13305657 	12293466 	12930932 
FOR,NR,I551-I553,AT	27962315 	27006207 	25906005 	24677596 	23544384 	22246197 	21782737 	21211722 	20180138 	19210106 	18534306 	19076785 	18112846 	17562358 	17128020 	16634206 	16283466 	15795853 	15434773 	15254299 	14742491 	14675620 	13848599 	14113112 	14044731 	14553348 	14751561 	15536013 	15504457 	15744307 
FOR,NR,I551-I553,BE	9343324 	9118854 	8384573 	7481422 	8354753 	7887426 	7684285 	7560025 	7494141 	7186419 	6813664 	7164765 	7044719 	6994342 	6747123 	6709740 	6689998 	6723850 	6451513 	6457325 	6369030 	6179254 	6037031 	5829267 	5559926 	5308942 	: 	5204440 	: 	: 
FOR,NR,I551-I553,BG	4067350 	3910159 	3655830 	3386932 	2864371 	2791578 	2820673 	2632062 	2409269 	2078747 	1944368 	2223177 	2227028 	2050197 	1935652 	1694549 	1397985 	1039703 	873318 	750555 	589905 	699424 	680755 	775258 	818696 	978998 	1123281 	1056034 	757062 	2143579 
FOR,NR,I551-I553,CH	: 	: 	: 	10385876 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7468161 	7835022 	7166830 	7198716 	7053014 	6744099 	6960877 	7373013 	9901324 	10264793 	10111086 	10521446 
FOR,NR,I551-I553,CY	2689344 	2665743 	2488611 	2268176 	1874323 	1935641 	1947836 	2021180 	1947447 	1814328 	1671864 	1761777 	1784735 	1770704 	1762658 	1734586 	1825827 	2040436 	2339002 	2237898 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,CZ	10890500 	10611394 	10160468 	9321440 	8706913 	8095885 	7851865 	7647044 	6715067 	6333996 	6032370 	6649410 	6679704 	6435474 	6336128 	6061225 	5075756 	4742773 	5405239 	4772794 	5307702 	5281064 	4825302 	4428451 	3369125 	2972371 	: 	: 	: 	: 
FOR,NR,I551-I553,DE	39441607 	38747698 	37307331 	35404924 	34831012 	32859540 	31407471 	30299258 	28264456 	26764892 	24125057 	24857752 	24393108 	23569145 	21500067 	20136979 	18381538 	17893501 	17945317 	18938847 	17102995 	16498127 	15825371 	15194117 	14836203 	14493812 	14347703 	15913214 	15647617 	17023213 
FOR,NR,I551-I553,DK	3086408 e	3031450 e	2871593 e	2767651 e	2630938 e	2465447 e	2328818 	2232258 	2146447 	1986834 	1792477 	1966955 	2026557 	2035265 	2002021 	2020620 	2013931 	1991894 	2022584 	2069668 	2023056 	2072031 	2157665 	2124575 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,EA	347795516 	338930307 e	320653862 e	296604423 	285186445 	269886810 	: 	243213118 	239122177 e	223628967 e	205074101 	220447022 e	: 	208032023 e	197077319 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,EE	2253429 	2140535 	2156147 	2056526 	1929164 	1983315 	1940130 	1873519 	1807919 	1563952 	1380540 	1433346 	1380323 	1427583 	1453418 	1374414 	1112746 	1003383 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,EL	25038498 	24320893 	19068697 	16915996 	16501709 	15259242 	12749395 	11230515 e	12083938 e	10829306 e	10434050 e	8886342 	8953757 	7748208 	7348706 	6461062 	6767976 	6843179 	7208307 	8011959 	7409755 	7533186 	7041480 	6216312 	6480579 	6929895 	: 	: 	: 	: 
FOR,NR,I551-I553,ES	67728098 	65771059 	65233045 	61341839 	55426615 	52359130 	49798884 	48100647 	47652545 	43182778 	39204146 	43718233 	43953113 	43143517 	37407150 	36297324 	36643766 	36037776 	36253366 	36887492 	28512625 	21639195 	19534596 	18134346 	17451921 	16426085 	13949083 	13230990 	12783140 	12937452 
FOR,NR,I551-I553,EU27_2007	439728334 e	427184181 e	406136912 e	376252434 	362782965 	327612665 e	312316870 e	295562574 	288199482 e	270424618 e	250335187 	266478299 e	: 	260006775 e	248037339 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,EU27_2020	406907066 	396149386 e	374967422 e	346490274 	331052355 	312133792 	: 	283847486 	274237319 e	257181388 e	237871889 	254940092 e	: 	246360050 e	236408990 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,EU28	457076390 e	443819194 e	421718616 e	389959878 	375326474 	339545863 e	323091870 e	305701270 	295440067 e	277152938 e	257297638 	273801253 e	: 	266850047 e	254836468 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,FI	3290238 	3224164 	3180254 	2788903 	2622039 	2731256 	2796839 	2778464 	2622586 	2318712 	2220267 	2494334 	2472449 	2316970 	2080194 	2083487 	2047444 	2042540 	1999298 	1970817 	1830560 	1866842 	1831500 	1724109 	1779204 	1867760 	1678725 	: 	: 	: 
FOR,NR,I551-I553,FR	51580030 	52505891 	48919374 	44958968 	46797708 	46073942 	46001492 	42327929 	41607105 	36729444 	35881647 	39122038 	40416832 	39476263 	41944465 	40737042 	39355131 	43185214 	41951812 	41921849 	39366265 	36621398 	: 	: 	34512037 	35592516 	33996492 	35704397 	32479272 	32542006 
FOR,NR,I551-I553,HR	17348056 	16635013 	15581704 	13707444 	12543509 	11438806 	10775000 	10138696 	7237077 	6652832 	6962451 	7081920 	7028323 	6645640 	6625370 	6278991 	5869506 	5533806 	5279308 	4749367 	3222581 	3770085 	3507666 	2601081 	1412963 	2299813 	1575173 	: 	: 	: 
FOR,NR,I551-I553,HU	6168576 	5945123 	5650077 	5301843 	4928511 	4617751 	4387692 	4163641 	3671426 	3385809 	3227942 	3516030 	3451186 	3309753 	3446362 	3269868 	2948224 	3013116 	3070192 	3213984 	3010576 	3112749 	2887264 	2978772 	2877592 	2944214 	: 	: 	: 	: 
FOR,NR,I551-I553,IE	3277804 e	3289489 e	: 	3172440 e	2666848 e	2242815 e	: u	2152666 u	3911637 u	3602663 u	3884568 u	: 	: 	: 	: 	: 	: 	: 	4039000 	10621000 	3896000 	3541000 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,IS	4533098 	: 	: 	3977547 	3376068 	2596740 	1918081 	1621174 	1382568 	1186510 	1209207 	1082882 	1035514 	951703 	852955 	836230 	771323 	704633 	671452 	637237 	601262 	565263 	496723 	456216 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,IT	65010220 	63195203 	60523190 	56764239 	55039251 	51635500 	50263236 	48738575 	47460809 	43794338 	41124722 	41796724 	42873122 	41193827 	38055139 	36715739 	35006124 	36355046 	35767981 	35107475 	31845086 	30941982 	29963670 	29324237 	27581077 	24663870 	21025353 	20424982 	20241217 	20862965 
FOR,NR,I551-I553,LI	98110 	85283 	79262 	69084 	56666 	61251 	59640 	62382 	66986 	64324 	66507 	72936 	72806 	69160 	63976 	63527 	64002 	63854 	71668 	73549 	71430 	72439 	62799 	71075 	74762 	: 	: 	: 	: 	85153 
FOR,NR,I551-I553,LT	1937972 	1744733 	1583801 	1517890 	1388487 	1356835 	1260336 	1147927 	943285 	791821 	710958 	858016 	804792 	720247 	648188 	558333 	411130 	366482 	328175 	276020 	270811 	289442 	270923 	232412 	193433 	210119 	: 	: 	: 	: 
FOR,NR,I551-I553,LU	1041117 	1017733 	1045883 	1053653 	1089576 	1038475 	944346 	950421 	873952 	805472 	848528 	877636 	915670 	906426 	910851 	875245 	864043 	882083 	833262 	848354 	859224 	784974 	773014 	717618 	761482 	761822 	791344 	759496 	824559 	820476 
FOR,NR,I551-I553,LV	1945919 	1925397 	1778973 	1573632 	1474765 	1431038 	1249814 	1096274 	1063294 	877774 	753875 	944690 	844828 	816297 	730146 	545366 	414924 	360927 	322916 	268083 	240799 	238835 	219939 	188269 	184783 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,ME	: 	: 	843609 b	1662121 	1559924 	: 	: 	1264163 	531503 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,MK	755438 	702833 	626879 	508300 	479152 	417090 	394938 	347052 	324249 	258942 	255620 	251794 	: 	: 	: 	: 	: 	119750 	95986 	214428 	176866 	149015 	116850 	123441 	131939 	: 	172082 	173336 	240191 	428053 
FOR,NR,I551-I553,MT	1821836 	1798002 	1662358 	1468143 	1428801 	1399301 	1311983 	1195938 	1198222 	1118596 	957581 	1079089 	1049327 	1012360 	1030540 	1042412 	966025 	951139 	988026 	964742 	1014892 	982049 	913237 	842510 	865968 	903203 	: 	: 	: 	: 
FOR,NR,I551-I553,NL	20129400 	18780326 	17924191 	15829488 	15007135 	13924881 	12782900 b	11633584 	11299400 	10883100 	9920700 	10104300 	11008000 	10738500 	10011800 	9647000 	9180700 	9595300 	9500000 	10002000 	9882000 	9320000 	7844000 	6581000 	6574000 	6178000 	5756700 	6049100 	5841900 	5795000 
FOR,NR,I551-I553,NO	: 	: 	: 	5920859 	5303531 	4854610 	4777926 	4538228 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4133668 	4242702 	4348042 	4543324 	4485615 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,PL	7470546 	7082231 	6803667 	6378793 	5689570 	5470335 	5242972 	4979294 	4409550 	4134970 	3861942 	4046312 	4387404 	4313578 	4310401 	3934064 	3331870 	3145439 	3151513 	3117146 	2493501 	3338462 	3628264 	3832668 	3702440 	3489195 	3326358 	3303757 	2756969 	: 
FOR,NR,I551-I553,PT	16200438 	15035803 	14299650 	12343982 	10839925 	9688312 	8400252 	7503252 	7263644 	6756354 	6439022 	6961718 	6787797 	6349448 	5769293 	5654081 	5383055 	5559904 	5391886 	5599127 	5378526 	5539313 	4798356 	4566705 	4572237 	4389299 	3961743 	4344547 	4769090 	4434728 
FOR,NR,I551-I553,RO	2672887 	2786468 	2749258 	2471411 	2234232 	1911817 	1714538 	1653361 	1516699 	1346343 	1275590 	1465891 	1550957 	1379832 	1429911 	1359494 	1104975 	999208 	914509 	867023 	795112 	809913 	832775 	762383 	765815 	2758400 	848436 	1184757 	28657837 	1431661 
FOR,NR,I551-I553,RS	: 	: 	: 	1277956 	1127284 	976221 	851584 	785615 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,SE	7407227 	7217241 	6840963 	6550337 	6267866 	5455363 	5029656 	4943811 	5005826 	4951119 	4855275 	4728323 	5127774 	4695667 	4883205 	4675923 	4268044 	4275658 	4107836 	3828409 	2594858 	2572920 	3468305 	3568403 	: 	2109381 	1877296 	1808643 	1827710 	1988374 
FOR,NR,I551-I553,SI	4694812 	: 	3543009 	2990794 	2669204 	2373990 	2226417 	2124724 	1921390 	1767481 	1731009 	1870439 	1703582 	1571361 	1514898 	1450484 	1325116 	1255339 	1176443 	1037181 	858819 	946284 	945172 	806082 	709399 	726585 	600890 	594917 	: 	: 
FOR,NR,I551-I553,SK	2409115 	2213983 	2129507 	1995812 	1700746 	1459974 	1652786 	1510699 	1447702 	1313019 	1282970 	1739705 	1665053 	1593915 	1497652 	1383824 	1368902 	1384670 	1212403 	1045614 	967963 	885742 	804732 	941089 	894654 	901812 	652815 	479969 	622505 	822238 
FOR,NR,I551-I553,TR	38853764 	31135545 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551-I553,UK	: 	: 	: 	43469604 	44274119 	: 	: u	21853784 	21210608 	20483978 	19425749 	19550044 	21062502 	20954462 	19039289 	17578735 	15879000 	15664000 	19005000 	19005000 	19005000 	18252000 	19200253 	18923909 	19052257 	16427318 	15558984 	14605657 	13493466 	14230932 
FOR,NR,I552,AT	3931899 	3673948 	3372679 	3176240 	2895354 	2755066 	2673442 	2545734 b	2331204 	2206798 	2161000 	2130867 	1938382 	1844946 	1769411 	1713155 	1653138 	1545857 	1430442 	1344057 	1283741 	1142371 	795745 	820471 	772206 	360856 	367368 	367356 	359861 	814707 
FOR,NR,I552,BE	2044662 	1924758 	1654814 	1526329 	1465635 	1098033 	1065084 	1025107 b	948286 	939448 	901202 	955241 	934706 	932738 	953573 	921159 	989024 	1006478 	974621 	932046 	985173 	956613 	911860 	928476 	952196 	343503 	348532 	358962 	: 	: 
FOR,NR,I552,BG	107275 	101191 	83591 	66879 	58070 	58424 	64333 	50851 b	18064 	12643 	11300 	15605 	18054 	23296 	21808 	20652 	15968 	3352 	2451 	2613 	2710 	3090 	3752 	6535 	5594 	7121 	9507 	17725 	14750 	27367 
FOR,NR,I552,CH	: 	: 	: 	817572 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13306 	13864 	12863 	13337 	13789 	14302 	14894 	15128 	1177597 	1134802 	1127760 	1839172 
FOR,NR,I552,CY	0 	0 	0 	0 	0 	0 	0 	0 	24427 	23008 	23041 	6827 	7729 	7598 	10207 	7710 	6803 	6038 	998 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I552,CZ	739787 	773316 	659927 	613277 	557325 	479181 	417396 	365115 b	228012 	250380 	269402 	352622 	395874 	400071 	385684 	432583 	381128 	299474 	376803 	257413 	732969 	898951 	562195 	450815 	238800 	306766 	: 	: 	: 	: 
FOR,NR,I552,DE	3073616 	2887075 	2779763 	2649000 	2570708 	2521933 	2371810 	2284275 b	2103381 	2029903 	1851355 	1955692 	1778972 	1759181 	1628646 	1429836 	1302944 	1229126 	1216795 	1239137 	1159117 	1123135 	1134595 	1145889 	1112928 	877186 	206169 	231339 	255251 	1185034 
FOR,NR,I552,DK	623434 e	644214 e	591846 e	538308 e	452277 e	294616 e	306623 	317129 b	328509 	293554 	278260 	328183 	364618 	330750 	300520 	299642 	341004 	354738 	352632 	368349 	362391 	383560 	394584 	399918 	: 	: 	: 	: 	: 	: 
FOR,NR,I552,EA	50731886 	46598081 e	42464068 e	37933509 	34672833 	31738242 	: 	26782018 b	25267003 e	24567345 e	23496927 e	: u	: 	22196683 e	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I552,EE	245137 	213323 	204089 	186234 	163603 	166998 	141738 	126786 b	91837 	63983 	60876 	68015 	79946 	79681 	85416 	65501 	96994 	62865 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I552,EL	5029874 	4639951 	4003551 	3716322 	3553103 	3177480 	2082647 	1834465 be	1817476 e	1632382 e	1652955 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I552,ES	8962155 	8937294 	9245095 	8529543 	7487626 	7149321 	6564127 	6278109 b	6171217 	5563763 	5256716 	5907294 	6049094 	6609687 	6313659 	6516803 	7032370 	7265471 	7287461 	7894083 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I552,EU27_2007	79239285 e	73650743 e	68804674 e	62370893 	57620766 	38664258 e	33599101 e	31354798 b	28249081 e	26401622 e	25670585 e	25295770 e	: 	24295218 e	23786898 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
